flag,vtuber_name,platform,platform_uid,follower
0,皮皮_channel,bilibili,1509277801,132430
0,十字架与三棱锥,bilibili,1491996,131400
0,烤鱼子Official,bilibili,592507317,131278
0,小丸Official,bilibili,15097846,131079
0,皮卡少个丘w,bilibili,180035670,130607
0,安魂殿里的R93,bilibili,97439580,129576
0,茉宁Yukina,bilibili,4868003,129519
0,流浪小满,bilibili,3493293266570035,129487
0,猫又小粥,bilibili,412135222,128713
0,樱桃软喵cherry,bilibili,1480042951,128682
0,果汁erR,bilibili,25032753,128646
0,白银诺艾尔,bilibili,454733056,128077
1,泽音Melody,bilibili,1203217682,127970
0,加賀美ハヤト,bilibili,666726795,127838
0,角卷绵芽,bilibili,491474050,127785
0,瑞狩是只喵,bilibili,8381620,127427
0,h46,bilibili,678612,126897
0,咲间妮娜Official,bilibili,573930836,126843
0,Tadasuto-塔哒,bilibili,1996131,126784
0,宫赫音,bilibili,2109291877,126523
0,齐格鲁_Official,bilibili,1141334416,126461
0,神圣的楼兰我,bilibili,440555,125975
0,梭梭树,bilibili,8163245,125972
0,压刹channel,bilibili,597701,125733
0,Sonny_Official,bilibili,1278419509,125455
0,喵田Miya,bilibili,846180,125010
0,忧特若丝_Uterus,bilibili,323905978,124726
0,怪盗黛蔻_Deko,bilibili,3546894189988049,124581
0,Oumi欧乌米,bilibili,579861015,123936
0,安心爱AnnChannel,bilibili,37786223,122902
0,明透 -ᴀsᴜ -,bilibili,1634470651,122840
0,朝仓鱼块AsakuraYukai,bilibili,605942,122767
0,蝶蝶Hikari,bilibili,697737710,122235
0,法里达,bilibili,23263470,122134
0,菲莉丝_Phyllis,bilibili,1244296084,121732
0,撒莉雅Saliya,bilibili,3546643722931172,121515
0,卡农,bilibili,835644,121510
0,白雪葵Channel,bilibili,1087725318,121497
0,左恕_Orzel,bilibili,1682065895,121327
0,八鏡ミラ,bilibili,3493265848404922,121080
